title,location,city,start_date,start_time,event_link,ticket_link,scraped_at
Robyn Orlin (Pietų Afrikos Respublika) - IN A CORNER THE SKY SURRENDERS,MENŲ SPAUSTUVĖ,Vilnius,2026-04-15,19:00,https://www.bilietai.lt/eng/tickets/teatras/robyn-orlin-pietu-afrikos-respublika-in-a-corner-the-sky-surrenders-494005/,https://store.bilietai.lt/public/?concert=494005&design=bilietai&lang=eng&center=1745,2026-02-16T05:41:20Z
Robyn Orlin (Pietų Afrikos Respublika) - IN A CORNER THE SKY SURRENDERS,MENŲ SPAUSTUVĖ,Vilnius,2026-04-16,19:00,https://www.bilietai.lt/eng/tickets/teatras/robyn-orlin-pietu-afrikos-respublika-in-a-corner-the-sky-surrenders-494006/,https://store.bilietai.lt/public/?concert=494006&design=bilietai&lang=eng&center=1745,2026-02-16T05:41:20Z
Volmir Cordeiro (Brazilija / Prancūzija) - STREET,Nacionalinė dailės galerija,Vilnius,2026-04-17,17:00,https://www.bilietai.lt/eng/tickets/teatras/volmir-cordeiro-brazilija-prancuzija-street-494013/,https://store.bilietai.lt/public/?concert=494013&design=bilietai&lang=eng&center=1745,2026-02-16T05:41:20Z
Volmir Cordeiro (Brazilija / Prancūzija) - STREET,Nacionalinė dailės galerija,Vilnius,2026-04-18,17:00,https://www.bilietai.lt/eng/tickets/teatras/volmir-cordeiro-brazilija-prancuzija-street-494014/,https://store.bilietai.lt/public/?concert=494014&design=bilietai&lang=eng&center=1745,2026-02-16T05:41:20Z
Annamari Keskinen ir Ryan Mason drauge su atlikėjais (Lietuva / Suomija) - SUPERTHING (PREMJERA),MENŲ SPAUSTUVĖ,Vilnius,2026-04-18,19:00,https://www.bilietai.lt/eng/tickets/teatras/annamari-keskinen-ir-ryan-mason-drauge-su-atlikejais-lietuva-suomija-superthing-premjera-494009/,https://store.bilietai.lt/public/?concert=494009&design=bilietai&lang=eng&center=1745,2026-02-16T05:41:20Z
Annamari Keskinen ir Ryan Mason drauge su atlikėjais (Lietuva / Suomija) - SUPERTHING (PREMJERA),MENŲ SPAUSTUVĖ,Vilnius,2026-04-19,19:00,https://www.bilietai.lt/eng/tickets/teatras/annamari-keskinen-ir-ryan-mason-drauge-su-atlikejais-lietuva-suomija-superthing-premjera-494010/,https://store.bilietai.lt/public/?concert=494010&design=bilietai&lang=eng&center=1745,2026-02-16T05:41:20Z
Chunky Move (Australija)  U>N>I>T>E>D,Dūmų fabrikas,Vilnius,2026-04-23,19:00,https://www.bilietai.lt/eng/tickets/teatras/chunky-move-australija-united-494026/,https://store.bilietai.lt/public/?concert=494026&design=bilietai&lang=eng&center=1745,2026-02-16T05:41:20Z
Chunky Move (Australija)  U>N>I>T>E>D,Dūmų fabrikas,Vilnius,2026-04-24,21:00,https://www.bilietai.lt/eng/tickets/teatras/chunky-move-australija-united-494027/,https://store.bilietai.lt/public/?concert=494027&design=bilietai&lang=eng&center=1745,2026-02-16T05:41:20Z
Chunky Move (Australija)  U>N>I>T>E>D,Dūmų fabrikas,Vilnius,2026-04-25,19:00,https://www.bilietai.lt/eng/tickets/teatras/chunky-move-australija-united-494028/,https://store.bilietai.lt/public/?concert=494028&design=bilietai&lang=eng&center=1745,2026-02-16T05:41:20Z
Christos Papadopoulos (Graikija) - MY FIERCE IGNORANT STEP,Lietuvos nacionalinis dramos teatras,Vilnius,2026-04-28,18:30,https://www.bilietai.lt/eng/tickets/teatras/christos-papadopoulos-graikija-my-fierce-ignorant-step-494023/,https://store.bilietai.lt/public/?concert=494023&design=bilietai&lang=eng&center=1745,2026-02-16T05:41:20Z
